epoch,epoch_loss,epoch_acc,timestamp
0,0.6184496879577637,0.7166666388511658,2025-03-02 19:09:17
1,0.6508850455284119,0.6916666626930237,2025-03-02 19:09:51
2,0.6252930164337158,0.6916666626930237,2025-03-02 19:10:26
3,0.5996742844581604,0.7166666388511658,2025-03-02 19:11:00
4,0.6278929710388184,0.6916666626930237,2025-03-02 19:11:35
5,0.6177923083305359,0.6916666626930237,2025-03-02 19:12:10
6,0.5963583588600159,0.7166666388511658,2025-03-02 19:12:44
7,0.6072856783866882,0.7041666507720947,2025-03-02 19:13:19
8,0.5959939360618591,0.7166666388511658,2025-03-02 19:13:53
9,0.6311023235321045,0.6791666746139526,2025-03-02 19:14:27
epoch,epoch_loss,epoch_acc,timestamp
0,0.6083331108093262,0.7041666507720947,2025-03-02 19:29:48
1,0.595593273639679,0.7166666388511658,2025-03-02 19:30:23
2,0.6157857775688171,0.6916666626930237,2025-03-02 19:30:58
3,0.6052697896957397,0.6916666626930237,2025-03-02 19:31:33
4,0.48512154817581177,0.7041666507720947,2025-03-02 19:32:08
5,0.34232503175735474,0.8833333253860474,2025-03-02 19:32:43
6,0.24997840821743011,0.9208333492279053,2025-03-02 19:33:18
7,0.2634507417678833,0.9083333611488342,2025-03-02 19:33:52
8,0.3746589720249176,0.8958333134651184,2025-03-02 19:34:27
9,0.04778188839554787,0.9833333492279053,2025-03-02 19:35:01
