epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6300578117370605,0.0010000000474974513,1.215824842453003,0.5111111402511597,1.3749302625656128
1,0.7333333492279053,0.0010000000474974513,0.507134735584259,1.0,0.0020574608352035284
2,0.8439306616783142,0.0010000000474974513,0.39618441462516785,0.5555555820465088,1.4309310913085938
3,1.0,0.0010000000474974513,0.11626795679330826,0.5,2.704742193222046
4,0.9190751314163208,0.0005000000237487257,0.23457226157188416,0.7111111283302307,1.2122323513031006
5,0.9333333373069763,0.0005000000237487257,0.14095811545848846,0.5,2.5665342807769775
6,0.9306358098983765,0.0002500000118743628,0.2015252262353897,0.6888889074325562,2.1389272212982178
7,1.0,0.0002500000118743628,0.06101125106215477,1.0,0.00029404484666883945
8,0.9306358098983765,0.0001250000059371814,0.1853821873664856,0.7111111283302307,1.8132580518722534
9,1.0,0.0001250000059371814,0.08805479854345322,0.5,3.4928433895111084
10,0.9595375657081604,6.25000029685907e-05,0.1218695342540741,0.7111111283302307,1.8484472036361694
11,0.8666666746139526,6.25000029685907e-05,0.27885153889656067,0.5,3.428295135498047
12,0.9710982441902161,3.125000148429535e-05,0.08629070222377777,0.6888889074325562,1.8778934478759766
13,1.0,3.125000148429535e-05,0.024458706378936768,1.0,0.00014929621829651296
14,0.9595375657081604,1.5625000742147677e-05,0.1120322123169899,0.7333333492279053,1.6129804849624634
15,1.0,1.5625000742147677e-05,0.06645552814006805,0.5,2.7802560329437256
16,0.9537572264671326,9.999999747378752e-06,0.09891806542873383,0.7111111283302307,1.6186789274215698
17,1.0,9.999999747378752e-06,0.03401844576001167,1.0,0.0010962539818137884
18,0.9768785834312439,9.999999747378752e-06,0.060762569308280945,0.7111111283302307,1.5109316110610962
19,1.0,9.999999747378752e-06,0.0326787605881691,1.0,0.00014810213178861886
20,0.9722222089767456,9.999999747378752e-06,0.07407956570386887,0.7555555701255798,1.253064513206482
21,1.0,9.999999747378752e-06,0.013997023925185204,0.0,3.858677625656128
22,0.9710982441902161,9.999999747378752e-06,0.06786754727363586,0.7555555701255798,1.1483649015426636
23,0.9333333373069763,9.999999747378752e-06,0.1340990662574768,0.0,4.637384414672852
24,0.9595375657081604,9.999999747378752e-06,0.10418719798326492,0.7555555701255798,1.0941494703292847
25,1.0,9.999999747378752e-06,0.03068174049258232,0.5,2.3265016078948975
26,0.9826589822769165,9.999999747378752e-06,0.06018008664250374,0.7777777910232544,1.0299532413482666
27,0.9333333373069763,9.999999747378752e-06,0.17607994377613068,0.5,1.6759254932403564
28,0.9768785834312439,9.999999747378752e-06,0.07402940094470978,0.7777777910232544,0.9163765907287598
29,1.0,9.999999747378752e-06,0.015759069472551346,0.5,2.36152982711792
