epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5977653861045837,0.0010000000474974513,1.4427025318145752,0.7066666483879089,0.820572018623352
1,0.800000011920929,0.0010000000474974513,0.49347609281539917,0.800000011920929,0.3599502146244049
2,0.8994413614273071,0.0010000000474974513,0.3918779790401459,0.8933333158493042,0.3574765920639038
3,0.7333333492279053,0.0010000000474974513,0.6148875951766968,0.8999999761581421,0.41294580698013306
4,0.8770949840545654,0.0010000000474974513,0.3353863060474396,0.8933333158493042,0.4004262387752533
5,1.0,0.0010000000474974513,0.043541185557842255,0.8999999761581421,0.4740353524684906
6,0.9329608678817749,0.0005000000237487257,0.22709745168685913,1.0,0.19167715311050415
7,0.8666666746139526,0.0005000000237487257,0.3816559910774231,1.0,0.1996125876903534
8,0.9385474920272827,0.0005000000237487257,0.17670130729675293,0.8933333158493042,0.3199724853038788
9,0.8666666746139526,0.0002500000118743628,0.43121060729026794,0.8999999761581421,0.22801408171653748
10,0.9497206807136536,0.0002500000118743628,0.13054926693439484,0.9333333373069763,0.12234140932559967
11,0.9333333373069763,0.0001250000059371814,0.20019158720970154,0.800000011920929,0.2515878677368164
12,0.9664804339408875,0.0001250000059371814,0.11108017712831497,0.9466666579246521,0.07013663649559021
13,0.9333333373069763,6.25000029685907e-05,0.0674523338675499,0.8999999761581421,0.09102915227413177
14,0.9720670580863953,6.25000029685907e-05,0.09890702366828918,0.9599999785423279,0.06686925888061523
15,0.9333333373069763,3.125000148429535e-05,0.08455517143011093,1.0,0.0011644781334325671
16,0.9720670580863953,3.125000148429535e-05,0.08405917882919312,0.9599999785423279,0.06582722067832947
17,1.0,1.5625000742147677e-05,0.029016975313425064,1.0,0.0011941490229219198
18,0.9832402467727661,1.5625000742147677e-05,0.0597754530608654,0.9866666793823242,0.05499742552638054
19,1.0,9.999999747378752e-06,0.03107074461877346,1.0,0.0008141279104165733
20,0.9832402467727661,9.999999747378752e-06,0.06898195296525955,1.0,0.03306266665458679
21,1.0,9.999999747378752e-06,0.010582255199551582,0.8999999761581421,0.1060958057641983
22,0.9888268113136292,9.999999747378752e-06,0.06237150356173515,1.0,0.034117791801691055
23,1.0,9.999999747378752e-06,0.009487132541835308,1.0,0.0254431813955307
24,0.994413435459137,9.999999747378752e-06,0.03971906378865242,1.0,0.025151293724775314
25,0.9333333373069763,9.999999747378752e-06,0.28464969992637634,1.0,0.033645883202552795
26,0.9888268113136292,9.999999747378752e-06,0.06270508468151093,1.0,0.025949491187930107
27,1.0,9.999999747378752e-06,0.011736584827303886,1.0,0.0010517893824726343
28,0.9832402467727661,9.999999747378752e-06,0.07268980145454407,1.0,0.02500440552830696
29,1.0,9.999999747378752e-06,0.009541657753288746,1.0,0.0030299320351332426
