epoch,epoch_loss,epoch_acc,timestamp
0,0.685876190662384,0.5016025304794312,2025-03-13 17:48:24
1,0.6290481686592102,0.6730769276618958,2025-03-13 17:49:01
2,0.5395029783248901,0.6891025900840759,2025-03-13 17:49:39
3,0.4750198721885681,0.7556089162826538,2025-03-13 17:50:15
4,0.405514121055603,0.8533653616905212,2025-03-13 17:50:53
5,0.47018977999687195,0.7275641560554504,2025-03-13 17:51:30
6,0.2726772129535675,0.8758012056350708,2025-03-13 17:52:08
7,0.5388290286064148,0.6394230723381042,2025-03-13 17:52:46
8,0.3091582655906677,0.9006410837173462,2025-03-13 17:53:24
9,0.17362864315509796,0.9286858439445496,2025-03-13 17:54:02
10,0.11885552108287811,0.9679487943649292,2025-03-13 17:54:38
11,0.18149912357330322,0.9142627716064453,2025-03-13 17:55:14
12,0.1977432370185852,0.901442289352417,2025-03-13 17:55:53
13,0.13357798755168915,0.9463141560554504,2025-03-13 17:56:32
14,0.06600002199411392,0.9879807829856873,2025-03-13 17:57:12
15,0.0397191159427166,0.995192289352417,2025-03-13 17:57:51
16,0.03079954907298088,0.9927884340286255,2025-03-13 17:58:28
17,0.0219125896692276,0.9927884340286255,2025-03-13 17:59:07
18,0.023539479821920395,0.995192289352417,2025-03-13 17:59:46
19,0.01382971741259098,0.9975961446762085,2025-03-13 18:00:24
20,0.012382546439766884,0.9975961446762085,2025-03-13 18:01:01
21,0.011627117171883583,1.0,2025-03-13 18:01:38
22,0.011185545474290848,1.0,2025-03-13 18:02:15
23,0.013207011856138706,0.9975961446762085,2025-03-13 18:02:52
24,0.01679847575724125,0.995192289352417,2025-03-13 18:03:29
25,0.008068965747952461,1.0,2025-03-13 18:04:14
26,0.007836703211069107,1.0,2025-03-13 18:04:56
